Country,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Turkmenistan,1602052,1897095,2201432,2525760,2862903,3246887,3720278,4226623,4569132,4885775,5267970,5766431,6250438
Turks and Caicos Is.,5604,5650,5665,6451,7598,9577,11709,15101,18744,23995,29726,36538,44276
U.S. Virgin Is.,32500,43500,63476,94484,99636,100760,103963,107818,108642,108453,108357,107712,106290
Uganda,7617746,8829056,10317212,11730959,13284026,15038915,17586630,20680831,24020697,27946588,32341728,37477356,44404611
Ukraine,42767251,45387091,47279086,48892187,49973920,50917000,51891400,51512800,49176500,47105171,45870741,45154036,44132049
United Arab Emirates,133426,173797,298084,543394,1014048,1379536,1900151,2433988,3275333,4280993,8481771,8916899,9287289
United Kingdom,52400000,54348050,55663250,56225800,56314216,56550268,57247586,58019030,58892514,60401206,62766365,65116219,67081000
United States,180671000,194303000,205052000,215973000,227225000,237924000,249623000,266278000,282162411,295516599,309327143,320738994,331501080
Uruguay,2529021,2680427,2790265,2871947,2953750,3024218,3117012,3208300,3292224,3317665,3352651,3402818,3429086
Uzbekistan,8372311,10130096,12011361,13894347,15947129,18063201,20510000,22785000,24650400,26167000,28562400,31298900,34232050
Vanuatu,64608,74677,87019,102010,118156,133119,150882,170612,192074,217632,245453,276438,311685
Venezuela,8156937,9688138,11355475,13176387,15210443,17402304,19750579,22107286,24427729,26668785,28715022,30529716,28490453
Vietnam,32718461,37466077,41928849,46969616,52968270,59811313,66912613,73759110,79001142,83142095,87411012,92191398,96648685
Yemen,5542459,6097298,6843607,7855657,9204938,11036918,13375121,16103339,18628700,21320671,24743946,28516545,32284046
Zambia,3119430,3658024,4281671,4931249,5720438,6686449,7686401,8684135,9891136,11564870,13792086,16248230,18927715
Zimbabwe,3806310,4447149,5202918,6097083,7049926,8690515,10113893,10994041,11834676,12224753,12839771,14154937,15669666
